iter	RMSE
0	19.02917339
1	18.51180704
2	18.26914722
3	17.9629335
4	17.72529041
5	17.63709046
6	17.52456276
7	17.3862112
8	17.3189457
9	17.2132298
10	17.11771831
11	17.01008113
12	16.89275821
13	16.8076078
14	16.70434255
15	16.60100117
16	16.53090621
17	16.46329675
18	16.38858871
19	16.3148981
20	16.22944485
21	16.19381055
22	16.16670034
23	16.12122638
24	16.06480874
25	16.00546094
26	15.95208764
27	15.88351284
28	15.83377466
29	15.79830624
30	15.7721419
31	15.73773427
32	15.70546274
33	15.67474529
34	15.62796084
35	15.57820272
36	15.54615451
37	15.51027272
38	15.47133349
39	15.43678334
40	15.4074138
41	15.36960117
42	15.34670649
43	15.31465116
44	15.28771925
45	15.24604145
46	15.21393572
47	15.18061198
48	15.15167647
49	15.11679331
50	15.08072412
51	15.04830888
52	15.02493527
53	14.99719774
54	14.96803728
55	14.94120544
56	14.91071226
57	14.88874877
58	14.85894613
59	14.83518183
60	14.80558678
61	14.7729496
62	14.7459391
63	14.71926425
64	14.69326921
65	14.67369415
66	14.64300106
67	14.61817978
68	14.59345538
69	14.57218446
70	14.5442181
71	14.51935536
72	14.49428577
73	14.47755781
74	14.45999101
75	14.44206426
76	14.41976075
77	14.39781789
78	14.3618996
79	14.33925242
80	14.31967947
81	14.29263307
82	14.27177144
83	14.24861677
84	14.23039353
85	14.21077197
86	14.18910638
87	14.17132104
88	14.15548586
89	14.13793408
90	14.11925281
91	14.0935056
92	14.07687181
93	14.0575076
94	14.03447683
95	14.01597089
96	13.99655672
97	13.97471145
98	13.95677183
99	13.93830334
100	13.91568252
101	13.89670249
102	13.87533928
103	13.85765998
104	13.84167692
105	13.82927547
106	13.80984649
107	13.79223115
108	13.78598346
109	13.77186625
110	13.75079707
111	13.72562275
112	13.70394104
113	13.6882782
114	13.66546596
115	13.6479852
116	13.63687941
117	13.61837288
118	13.60032279
119	13.58137254
120	13.56687436
121	13.55167812
122	13.52439721
123	13.51208496
124	13.49695892
125	13.48064909
126	13.46710214
127	13.44866387
128	13.43524693
129	13.42461098
130	13.40795734
131	13.39255017
132	13.37702134
133	13.36847935
134	13.35108685
135	13.3362461
136	13.32361062
137	13.30537861
138	13.28774021
139	13.2729974
140	13.25780223
141	13.24408547
142	13.2329324
143	13.20759933
144	13.19449279
145	13.18310434
146	13.167368
147	13.15177707
148	13.13483536
149	13.12158527
150	13.11145758
151	13.10020992
152	13.08727856
153	13.07529885
154	13.05433108
155	13.03749976
156	13.02345039
157	13.00981937
158	12.99617174
159	12.9821462
160	12.96804997
161	12.95497819
162	12.94323916
163	12.92885571
164	12.91551277
165	12.90481616
166	12.89270026
167	12.87907683
168	12.87198664
169	12.85579441
170	12.84393631
171	12.83098126
172	12.81439971
173	12.80196704
174	12.78891434
175	12.77216192
176	12.75752366
177	12.73857567
178	12.72997054
179	12.71981211
180	12.70783813
181	12.70067872
182	12.69317376
183	12.68094831
184	12.66973401
185	12.65610564
186	12.64498201
187	12.63521349
188	12.62500812
189	12.61005472
190	12.59610932
191	12.58781157
192	12.57588088
193	12.56413945
194	12.5509661
195	12.53861675
196	12.52390035
197	12.5068997
198	12.49512145
199	12.48205672
200	12.47126096
201	12.45850713
202	12.44552329
203	12.43355621
204	12.42079345
205	12.40753279
206	12.39425754
207	12.38118088
208	12.37523495
209	12.3629507
210	12.35117606
211	12.3402504
212	12.32990024
213	12.31671912
214	12.30418547
215	12.29552805
216	12.28409256
217	12.27081089
218	12.25910804
219	12.24887138
220	12.23872216
221	12.22740038
222	12.21936987
223	12.20827383
224	12.19781251
225	12.18759985
226	12.17698485
227	12.16673169
228	12.15714193
