iter	RMSE
229	12.14232391
230	12.131225
231	12.12103585
232	12.11041081
233	12.1025456
234	12.09410063
235	12.0848012
236	12.07458239
237	12.06513489
238	12.0542283
239	12.0389144
240	12.03228947
241	12.01852237
242	12.00099829
243	11.9927328
244	11.97685268
245	11.9674847
246	11.96043101
247	11.94997238
248	11.94066665
249	11.93284878
250	11.92110943
251	11.90988245
252	11.89863227
253	11.88810414
254	11.8731268
255	11.86245506
256	11.85299245
257	11.8453379
258	11.83647667
259	11.82487717
260	11.81444159
261	11.80729774
262	11.79707379
263	11.78542193
264	11.77367572
265	11.76208655
266	11.75271671
267	11.73982368
268	11.72929879
269	11.72166626
270	11.7136015
271	11.70725971
272	11.69581635
273	11.68478541
274	11.67349262
275	11.66668162
276	11.65390964
277	11.64656473
278	11.63602767
279	11.62572836
280	11.61629631
281	11.60678896
282	11.59361117
283	11.58452675
284	11.57661479
285	11.56689371
286	11.55611267
287	11.54736896
288	11.5385311
289	11.53008153
290	11.522603
291	11.51301307
292	11.50489896
293	11.49683783
294	11.48639413
295	11.47574921
296	11.46578257
297	11.46083767
298	11.45324015
299	11.44511031
300	11.43964947
301	11.43005031
302	11.42245727
303	11.41404705
304	11.40069559
305	11.39332612
306	11.38407528
307	11.37593425
308	11.36749797
309	11.36064567
310	11.35309649
311	11.34617997
312	11.33860838
313	11.32871837
314	11.32000398
315	11.31172843
316	11.30006372
317	11.29156632
318	11.28048802
319	11.27104343
320	11.2604991
321	11.25278765
322	11.24118455
323	11.23217877
324	11.22278842
325	11.21582543
326	11.20787268
327	11.20035982
328	11.19049731
329	11.18131388
330	11.17057295
331	11.15938708
332	11.14958519
333	11.14074369
334	11.13508734
335	11.1238559
336	11.11692089
337	11.11239038
338	11.10516141
339	11.09911978
340	11.0935026
341	11.08483198
342	11.07407558
343	11.06398979
344	11.05489484
345	11.04580101
346	11.03862401
347	11.02801569
348	11.01978176
349	11.0116729
350	11.00178804
351	10.99317197
352	10.98476172
353	10.97789415
354	10.97120276
355	10.96248694
356	10.95611336
357	10.94926938
358	10.93928883
359	10.92867696
360	10.92243196
361	10.91190405
362	10.90127561
363	10.89291513
364	10.88508613
365	10.87702073
366	10.86943559
367	10.86201547
368	10.85110087
369	10.84438288
370	10.83440261
371	10.8256755
372	10.81458552
373	10.80657578
374	10.79849527
375	10.7921666
376	10.78268983
377	10.77374633
378	10.76482048
379	10.75656172
380	10.74738573
381	10.73799423
382	10.72956756
383	10.72187157
384	10.7124241
385	10.70386426
386	10.6930094
387	10.6851116
388	10.67661932
389	10.66876703
390	10.66033864
391	10.65073284
392	10.64248561
393	10.63733237
394	10.62909874
395	10.62232978
396	10.61364499
397	10.60565227
398	10.59706846
399	10.58817029
400	10.58209667
401	10.57369803
402	10.56285473
403	10.55602766
404	10.54959525
405	10.54153025
406	10.53433292
407	10.52534322
408	10.51749019
409	10.50703907
410	10.50159178
411	10.4956834
412	10.48751544
413	10.47812674
414	10.47193631
415	10.4645105
416	10.45976673
417	10.45276375
418	10.44547079
419	10.43721323
420	10.42950958
421	10.42188802
422	10.41138848
423	10.40232426
424	10.3929274
425	10.38609166
426	10.37949469
427	10.37277976
428	10.36432535
429	10.35615083
430	10.34958888
431	10.34396056
432	10.33676158
433	10.33040222
434	10.32363163
435	10.31724624
436	10.31051793
437	10.3028763
438	10.29628914
439	10.28934643
440	10.28174645
441	10.27492092
442	10.26733071
443	10.26233307
444	10.2517101
445	10.24598897
446	10.24095845
447	10.23385069
448	10.22433568
449	10.22021037
450	10.21461061
451	10.20796209
452	10.20120287
453	10.19198067
454	10.18420935
455	10.1728585
456	10.16512125
457	10.15982234
458	10.15215248
459	10.14385479
460	10.1347886
461	10.12792131
462	10.1192895
463	10.11251947
464	10.10523082
465	10.09916581
466	10.09100193
467	10.08523525
468	10.07623739
469	10.06689873
470	10.06203856
471	10.05698116
472	10.04852875
473	10.04054779
474	10.03301998
475	10.02625603
476	10.01909227
477	10.01101593
478	10.00135891
479	9.996120247
480	9.989456942
481	9.98258183
482	9.977059687
483	9.969732193
484	9.963960056
485	9.959275074
486	9.949826129
487	9.943547657
488	9.937578176
489	9.930139475
490	9.922059262
491	9.912451261
492	9.90521075
493	9.899527767
494	9.893351303
495	9.885036672
496	9.879314754
497	9.872603507
498	9.865890735
499	9.859321985
500	9.853757151
501	9.845393339
502	9.838304224
503	9.830202439
504	9.823221468
505	9.815744495
506	9.80895866
507	9.802599655
508	9.793341616
509	9.785383488
510	9.778367451
511	9.770880718
512	9.762014649
513	9.754825985
514	9.747971071
515	9.740791549
516	9.731930435
517	9.724233132
518	9.717932393
519	9.708997374
520	9.701919398
521	9.694988396
522	9.690275538
523	9.682329782
524	9.675475182
525	9.666378846
526	9.659649062
527	9.650884934
528	9.641947936
529	9.632074024
530	9.626576754
531	9.621381917
532	9.615671063
533	9.607573055
534	9.600925997
535	9.594930432
536	9.58760867
537	9.581346461
538	9.576130221
539	9.569798848
540	9.565297695
541	9.559679388
542	9.553945782
543	9.549131374
544	9.540335424
545	9.533236072
546	9.526915555
547	9.521192152
548	9.512197433
549	9.503979693
550	9.498406182
551	9.491182224
552	9.485012388
553	9.478951419
554	9.471643469
555	9.464970681
556	9.458985675
557	9.453550656
558	9.447019636
559	9.439822562
560	9.432387291
561	9.426980429
562	9.421160757
563	9.414640726
564	9.40712177
565	9.400789329
566	9.393812857
567	9.38697129
568	9.380243067
569	9.373987945
570	9.365764785
571	9.360388881
572	9.352236096
573	9.344573291
574	9.337672622
575	9.330947969
576	9.325710161
577	9.32061425
578	9.313407003
579	9.306916245
580	9.300091935
581	9.292757933
582	9.285355136
583	9.28106621
584	9.275125875
585	9.269412603
586	9.263974849
587	9.256945501
588	9.251500419
589	9.246041315
590	9.239393378
591	9.231493379
592	9.224414887
593	9.218274784
594	9.212542537
595	9.206123506
596	9.199834781
597	9.194634849
598	9.187294487
599	9.180925879
